name,description,price,category,stock,images
Camiseta Básica Blanca,Camiseta de algodón 100% color blanco,25000,Ropa,50,https://example.com/camiseta-blanca.jpg
Pantalón Jean Azul,Pantalón jean clásico azul oscuro,85000,Ropa,30,https://example.com/jean-azul.jpg
Zapatos Deportivos,Zapatos deportivos para running,120000,Calzado,20,https://example.com/zapatos.jpg
Gorra Negra,Gorra ajustable color negro,35000,Accesorios,40,https://example.com/gorra.jpg
Chaqueta de Cuero,Chaqueta de cuero sintético,180000,Ropa,15,https://example.com/chaqueta.jpg
Reloj Digital,Reloj digital resistente al agua,95000,Accesorios,25,https://example.com/reloj.jpg
Mochila Escolar,Mochila con múltiples compartimentos,65000,Accesorios,35,https://example.com/mochila.jpg
Bufanda de Lana,Bufanda tejida de lana,28000,Accesorios,45,https://example.com/bufanda.jpg
Camisa Formal Azul,Camisa formal manga larga,55000,Ropa,28,https://example.com/camisa.jpg
Cinturón de Cuero,Cinturón de cuero genuino,42000,Accesorios,50,https://example.com/cinturon.jpg
